Entity,Code,Year,Renewables (% sub energy)
Iceland,ISL,2019,79.08
Norway,NOR,2019,66.18
Brazil,BRA,2019,45.017
Sweden,SWE,2019,42.237
New Zealand,NZL,2019,35.4
Austria,AUT,2019,33.702
Switzerland,CHE,2019,30.642
Ecuador,ECU,2019,30.387
Denmark,DNK,2019,30.163
Canada,CAN,2019,27.638
Peru,PER,2019,27.329
Finland,FIN,2019,26.148
Venezuela,VEN,2019,25.391
Colombia,COL,2019,24.986
Portugal,PRT,2019,24.454
Chile,CHL,2019,22.851
Croatia,HRV,2019,21.537
Turkey,TUR,2019,18.473
Latvia,LVA,2019,18.18
Germany,DEU,2019,17.485
Spain,ESP,2019,16.968
Europe,,2019,16.491
Italy,ITA,2019,16.29
Romania,ROU,2019,15.902
Slovenia,SVN,2019,15.738
Ireland,IRL,2019,15.45
Vietnam,VNM,2019,15.216
United Kingdom,GBR,2019,14.454
Sri Lanka,LKA,2019,14.052
Argentina,ARG,2019,13.556
China,CHN,2019,12.665
Greece,GRC,2019,12.112
France,FRA,2019,11.733
World,OWID_WRL,2019,11.409
North America,,2019,10.921
North Macedonia,MKD,2019,10.707
Pakistan,PAK,2019,10.638
Philippines,PHL,2019,10.542
Japan,JPN,2019,9.313
Bulgaria,BGR,2019,9.203
Lithuania,LTU,2019,8.88
United States,USA,2019,8.712
Australia,AUS,2019,8.567
Slovakia,SVK,2019,8.344
Africa,,2019,7.994
India,IND,2019,7.781
Estonia,EST,2019,7.296
Mexico,MEX,2019,7.219
Morocco,MAR,2019,7.086
Belgium,BEL,2019,6.937
Netherlands,NLD,2019,6.54
Thailand,THA,2019,6.185
Poland,POL,2019,6.182
Indonesia,IDN,2019,6.09
Malaysia,MYS,2019,6.009
Russia,RUS,2019,5.868
Czechia,CZE,2019,5.183
Egypt,EGY,2019,4.556
Luxembourg,LUX,2019,4.061
Hungary,HUN,2019,4.017
Cyprus,CYP,2019,3.926
Uzbekistan,UZB,2019,3.25
Ukraine,UKR,2019,3.107
Kazakhstan,KAZ,2019,3.1
South Korea,KOR,2019,2.54
Taiwan,TWN,2019,2.51
Azerbaijan,AZE,2019,2.48
Israel,ISR,2019,2.302
South Africa,ZAF,2019,2.21
Iran,IRN,2019,2.132
Iraq,IRQ,2019,1.015
United Arab Emirates,ARE,2019,0.771
Bangladesh,BGD,2019,0.637
Belarus,BLR,2019,0.56
Algeria,DZA,2019,0.273
Singapore,SGP,2019,0.239
Saudi Arabia,SAU,2019,0.144
Kuwait,KWT,2019,0.087
Hong Kong,HKG,2019,0.08
Qatar,QAT,2019,0.054
Trinidad and Tobago,TTO,2019,0.006
Turkmenistan,TKM,2019,0.006
Oman,OMN,2019,0.002
