year,energy_type,power_consumption
1800,Wind,0
1800,Oil,0
1800,Nuclear,0
1800,Hydropower,0
1800,Traditional bimass,5556
1800,Other renewables,0
1800,Biofuels,0
1800,Solar,0
1800,Coal,97
1800,Gas,0
1810,Wind,0
1810,Oil,0
1810,Nuclear,0
1810,Hydropower,0
1810,Traditional bimass,5833
1810,Other renewables,0
1810,Biofuels,0
1810,Solar,0
1810,Coal,128
1810,Gas,0
1820,Wind,0
1820,Oil,0
1820,Nuclear,0
1820,Hydropower,0
1820,Traditional bimass,6111
1820,Other renewables,0
1820,Biofuels,0
1820,Solar,0
1820,Coal,153
1820,Gas,0
1830,Wind,0
1830,Oil,0
1830,Nuclear,0
1830,Hydropower,0
1830,Traditional bimass,6389
1830,Other renewables,0
1830,Biofuels,0
1830,Solar,0
1830,Coal,264
1830,Gas,0
1840,Wind,0
1840,Oil,0
1840,Nuclear,0
1840,Hydropower,0
1840,Traditional bimass,6944
1840,Other renewables,0
1840,Biofuels,0
1840,Solar,0
1840,Coal,356
1840,Gas,0
1850,Wind,0
1850,Oil,0
1850,Nuclear,0
1850,Hydropower,0
1850,Traditional bimass,7222
1850,Other renewables,0
1850,Biofuels,0
1850,Solar,0
1850,Coal,569
1850,Gas,0
1860,Wind,0
1860,Oil,0
1860,Nuclear,0
1860,Hydropower,0
1860,Traditional bimass,6944
1860,Other renewables,0
1860,Biofuels,0
1860,Solar,0
1860,Coal,1061
1860,Gas,0
1870,Wind,0
1870,Oil,6
1870,Nuclear,0
1870,Hydropower,0
1870,Traditional bimass,6944
1870,Other renewables,0
1870,Biofuels,0
1870,Solar,0
1870,Coal,1642
1870,Gas,0
1880,Wind,0
1880,Oil,33
1880,Nuclear,0
1880,Hydropower,0
1880,Traditional bimass,6944
1880,Other renewables,0
1880,Biofuels,0
1880,Solar,0
1880,Coal,2542
1880,Gas,0
1890,Wind,0
1890,Oil,89
1890,Nuclear,0
1890,Hydropower,37
1890,Traditional bimass,6667
1890,Other renewables,0
1890,Biofuels,0
1890,Solar,0
1890,Coal,3856
1890,Gas,33
1900,Wind,0
1900,Oil,181
1900,Nuclear,0
1900,Hydropower,44
1900,Traditional bimass,6111
1900,Other renewables,0
1900,Biofuels,0
1900,Solar,0
1900,Coal,5728
1900,Gas,64
1910,Wind,0
1910,Oil,397
1910,Nuclear,0
1910,Hydropower,88
1910,Traditional bimass,6389
1910,Other renewables,0
1910,Biofuels,0
1910,Solar,0
1910,Coal,8656
1910,Gas,142
1920,Wind,0
1920,Oil,889
1920,Nuclear,0
1920,Hydropower,168
1920,Traditional bimass,6944
1920,Other renewables,0
1920,Biofuels,0
1920,Solar,0
1920,Coal,9833
1920,Gas,233
1930,Wind,0
1930,Oil,1756
1930,Nuclear,0
1930,Hydropower,344
1930,Traditional bimass,7222
1930,Other renewables,0
1930,Biofuels,0
1930,Solar,0
1930,Coal,10125
1930,Gas,603
1940,Wind,0
1940,Oil,2653
1940,Nuclear,0
1940,Hydropower,504
1940,Traditional bimass,7222
1940,Other renewables,0
1940,Biofuels,0
1940,Solar,0
1940,Coal,11586
1940,Gas,875
1950,Wind,0
1950,Oil,5444
1950,Nuclear,0
1950,Hydropower,877
1950,Traditional bimass,7500
1950,Other renewables,0
1950,Biofuels,0
1950,Solar,0
1950,Coal,12603
1950,Gas,2092
1960,Wind,0
1960,Oil,11097
1960,Nuclear,0
1960,Hydropower,1813
1960,Traditional bimass,8889
1960,Other renewables,0
1960,Biofuels,0
1960,Solar,0
1960,Coal,15442
1960,Gas,4472
1965,Wind,0
1965,Oil,18109
1965,Nuclear,71
1965,Hydropower,2564
1965,Traditional bimass,9162
1965,Other renewables,50
1965,Biofuels,0
1965,Solar,0
1965,Coal,16140
1965,Gas,6303
1966,Wind,0
1966,Oil,19496
1966,Nuclear,96
