year,energy_type,power_consumption
1965,Wind,0
1965,Solar,0
1965,Geo Biomass Other,17.9852321
1965,Hydro,923.1979239
1966,Wind,0
1966,Solar,0
1966,Geo Biomass Other,19.8060069
1966,Hydro,983.817037
1967,Wind,0
1967,Solar,0
1967,Geo Biomass Other,19.98657074
1967,Hydro,1005.742652
1968,Wind,0
1968,Solar,0
1968,Geo Biomass Other,22.1200451
1968,Hydro,1059.289008
1969,Wind,0
1969,Solar,0
1969,Geo Biomass Other,23.25796438
1969,Hydro,1121.743221
1970,Wind,0
1970,Solar,0
1970,Geo Biomass Other,25.69319599
1970,Hydro,1174.647576
1971,Wind,0
1971,Solar,0
1971,Geo Biomass Other,27.87916846
1971,Hydro,1227.065005
1972,Wind,0
1972,Solar,0
1972,Geo Biomass Other,29.87710082
1972,Hydro,1284.630368
1973,Wind,0
1973,Solar,0
1973,Geo Biomass Other,32.08492382
1973,Hydro,1303.009488
1974,Wind,0
1974,Solar,0
1974,Geo Biomass Other,33.95881358
1974,Hydro,1431.264984
1975,Wind,0
1975,Solar,0
1975,Geo Biomass Other,34.48367863
1975,Hydro,1448.889652
1976,Wind,0
1976,Solar,0
1976,Geo Biomass Other,38.46095587
1976,Hydro,1443.134706
1977,Wind,0
1977,Solar,0
1977,Geo Biomass Other,40.56255723
1977,Hydro,1491.67161
1978,Wind,0.003
1978,Solar,0
1978,Geo Biomass Other,42.96747784
1978,Hydro,1614.387725
1979,Wind,0.006
1979,Solar,0
1979,Geo Biomass Other,46.16932882
1979,Hydro,1695.189194
1980,Wind,0.0105
1980,Solar,0
1980,Geo Biomass Other,49.38536385
1980,Hydro,1731.652451
1981,Wind,0.0105
1981,Solar,0
1981,Geo Biomass Other,53.15454248
1981,Hydro,1768.903725
1982,Wind,0.0185
1982,Solar,0
1982,Geo Biomass Other,61.37055691
1982,Hydro,1800.908921
1983,Wind,0.032794949
1983,Solar,0.003
1983,Geo Biomass Other,68.01793288
1983,Hydro,1877.769376
1984,Wind,0.044755556
1984,Solar,0.006311111
1984,Geo Biomass Other,76.0092183
1984,Hydro,1941.375556
1985,Wind,0.064220202
1985,Solar,0.011747475
1985,Geo Biomass Other,77.79223188
1985,Hydro,1979.774848
1986,Wind,0.138831313
1986,Solar,0.015183838
1986,Geo Biomass Other,85.57913315
1986,Hydro,2006.571648
1987,Wind,0.195376768
1987,Solar,0.01060303
1987,Geo Biomass Other,91.64285454
1987,Hydro,2033.706398
1988,Wind,0.331579798
1988,Solar,0.01019596
1988,Geo Biomass Other,94.28072763
1988,Hydro,2098.720984
1989,Wind,2.649776768
1989,Solar,0.262223232
1989,Geo Biomass Other,104.3482891
1989,Hydro,2087.570913
1990,Wind,3.632470516
1990,Solar,0.388294949
1990,Geo Biomass Other,117.0026734
1990,Hydro,2158.906256
1991,Wind,4.086706675
1991,Solar,0.505202873
1991,Geo Biomass Other,122.0189743
1991,Hydro,2209.410404
1992,Wind,4.733212019
1992,Solar,0.468585109
1992,Geo Biomass Other,130.9718438
1992,Hydro,2209.074255
1993,Wind,5.697568819
1993,Solar,0.556697524
1993,Geo Biomass Other,135.3057577
1993,Hydro,2341.244792
1994,Wind,7.122929844
1994,Solar,0.600013925
1994,Geo Biomass Other,140.4256751
1994,Hydro,2356.881825
1995,Wind,8.261923444
1995,Solar,0.640813779
1995,Geo Biomass Other,146.3616624
1995,Hydro,2485.633411
1996,Wind,9.204600661
1996,Solar,0.705207972
1996,Geo Biomass Other,150.5656293
1996,Hydro,2520.498994
1997,Wind,12.01781647
1997,Solar,0.756584792
1997,Geo Biomass Other,161.2867418
1997,Hydro,2566.13537
1998,Wind,15.92126027
1998,Solar,0.831788965
1998,Geo Biomass Other,168.7621089
1998,Hydro,2586.942015
1999,Wind,21.21617401
1999,Solar,0.916196899
1999,Geo Biomass Other,177.3933583
1999,Hydro,2605.676465
2000,Wind,31.42043456
2000,Solar,1.118970397
2000,Geo Biomass Other,185.9737235
2000,Hydro,2651.962539
2001,Wind,38.39045195
2001,Solar,1.399285679
2001,Geo Biomass Other,191.802951
2001,Hydro,2583.888265
2002,Wind,52.33078199
2002,Solar,1.762091131
2002,Geo Biomass Other,206.2917985
2002,Hydro,2631.847397
2003,Wind,62.9113953
2003,Solar,2.256373155
2003,Geo Biomass Other,217.8548881
2003,Hydro,2627.604435
2004,Wind,85.11619243
2004,Solar,2.972715218
2004,Geo Biomass Other,235.210346
2004,Hydro,2820.745229
2005,Wind,104.0838798
2005,Solar,4.163299658
2005,Geo Biomass Other,254.5110424
2005,Hydro,2916.436224
2006,Wind,132.859216
2006,Solar,5.718888865
2006,Geo Biomass Other,271.6271307
2006,Hydro,3027.67847
2007,Wind,170.6826206
2007,Solar,7.758600806
2007,Geo Biomass Other,294.651876
2007,Hydro,3079.335975
2008,Wind,220.6000452
2008,Solar,12.60845712
2008,Geo Biomass Other,315.3096194
2008,Hydro,3257.389347
2009,Wind,276.0205263
2009,Solar,20.94134725
2009,Geo Biomass Other,338.8156588
2009,Hydro,3252.498403
2010,Wind,346.4650219
2010,Solar,33.67196563
2010,Geo Biomass Other,381.028885
2010,Hydro,3435.769901
2011,Wind,440.385092
2011,Solar,65.17952368
2011,Geo Biomass Other,402.6468217
2011,Hydro,3501.090942
2012,Wind,530.5544214
2012,Solar,101.1563675
2012,Geo Biomass Other,436.1639502
2012,Hydro,3649.811389
2013,Wind,635.492051
2013,Solar,138.9366135
2013,Geo Biomass Other,471.0720411
2013,Hydro,3795.929982
2014,Wind,705.8058608
2014,Solar,197.7600477
2014,Geo Biomass Other,510.48156
2014,Hydro,3894.239742
2015,Wind,831.4296883
2015,Solar,256.3559999
2015,Geo Biomass Other,546.641182
2015,Hydro,3885.012339
2016,Wind,962.2273954
2016,Solar,328.3852083
2016,Geo Biomass Other,560.6810821
2016,Hydro,4018.671591
2017,Wind,1140.310949
2017,Solar,446.0541642
2017,Geo Biomass Other,593.7909798
2017,Hydro,4066.718275
2018,Wind,1269.520536
2018,Solar,576.9512475
2018,Geo Biomass Other,632.173911
2018,Hydro,4176.687496
2019,Wind,1418.170046
2019,Solar,707.9184953
2019,Geo Biomass Other,663.1342918
2019,Hydro,4227.88328
2020,Wind,1591.213512
2020,Solar,855.7246897
2020,Geo Biomass Other,700.0686508
2020,Hydro,4296.802045
