Entity,Code,Year,Primary Energy Consumption - TWh,Lat,Long
Algeria,DZA,2020,638.4964061,28.033886,1.659626
Argentina,ARG,2020,874.6116122,-38.416097,-63.616672
Australia,AUS,2020,1546.830181,-25.274398,133.775136
Austria,AUT,2020,384.3599044,47.516231,14.550072
Azerbaijan,AZE,2020,172.7443539,40.143105,47.576927
Bangladesh,BGD,2020,442.1210989,23.684994,90.356331
Belarus,BLR,2020,272.8119572,53.709807,27.953389
Belgium,BEL,2020,608.5665214,50.503887,4.469936
Brazil,BRA,2020,3335.555303,-14.235004,-51.92528
Bulgaria,BGR,2020,191.6513189,42.733883,25.48583
Canada,CAN,2020,3785.897697,56.130366,-106.346771
Chile,CHL,2020,446.3329203,-35.675147,-71.542969
China,CHN,2020,40404.44303,35.86166,104.195397
Colombia,COL,2020,490.9350275,4.570868,-74.297333
Croatia,HRV,2020,90.74737389,45.1,15.2
Cyprus,CYP,2020,28.201975,35.126413,33.429859
Denmark,DNK,2020,163.9977739,56.26392,9.501785
Ecuador,ECU,2020,179.2126094,-1.831239,-78.183406
Egypt,EGY,2020,1013.053306,26.820553,30.802498
Estonia,EST,2020,51.76725056,58.595272,25.013607
Finland,FIN,2020,304.5264308,61.92411,25.748151
France,FRA,2020,2417.784935,46.227638,2.213749
Germany,DEU,2020,3364.175358,51.165691,10.451526
Greece,GRC,2020,277.8635544,39.074208,21.824312
Hong Kong,HKG,2020,258.1236344,22.396428,114.109497
Hungary,HUN,2020,268.8815675,47.162494,19.503304
Iceland,ISL,2020,57.04860833,64.963051,-19.020835
India,IND,2020,8884.380169,20.593684,78.96288
Indonesia,IDN,2020,2120.519312,-0.789275,113.921327
Iran,IRN,2020,3341.688981,32.427908,53.688046
Iraq,IRQ,2020,572.9969225,33.223191,43.679291
Ireland,IRL,2020,170.8477894,53.41291,-8.24389
Israel,ISR,2020,291.0389372,31.046051,34.851612
Italy,ITA,2020,1628.597766,41.87194,12.56738
Japan,JPN,2020,4730.587725,36.204824,138.252924
Kazakhstan,KAZ,2020,862.7958069,48.019573,66.923684
Kuwait,KWT,2020,418.6050817,29.31166,47.481766
Latvia,LVA,2020,40.30728111,56.879635,24.603189
Lithuania,LTU,2020,69.05101806,55.169438,23.881275
Luxembourg,LUX,2020,39.89101694,49.815273,6.129583
Malaysia,MYS,2020,1142.389165,4.210484,101.975766
Mexico,MEX,2020,1798.851963,23.634501,-102.552784
Morocco,MAR,2020,243.8823969,31.791702,-7.09262
Netherlands,NLD,2020,936.8211658,52.132633,5.291266
New Zealand,NZL,2020,233.4620469,-40.900557,174.885971
Norway,NOR,2020,536.0492561,60.472024,8.468946
Oman,OMN,2020,380.5127986,21.512583,55.923255
Pakistan,PAK,2020,965.0546142,30.375321,69.345116
Peru,PER,2020,276.9541189,-9.189967,-75.015152
Philippines,PHL,2020,506.9440789,12.879721,121.774017
Poland,POL,2020,1114.703999,51.919438,19.145136
Portugal,PRT,2020,259.0443828,39.399872,-8.224454
Qatar,QAT,2020,475.5025086,25.354826,51.183884
Romania,ROU,2020,369.7511439,45.943161,24.96676
Russia,RUS,2020,7865.165342,61.52401,105.318756
Saudi Arabia,SAU,2020,2933.478211,23.885942,45.079162
Singapore,SGP,2020,948.8788278,1.352083,103.819836
Slovakia,SVK,2020,173.0520253,48.669026,19.699024
Slovenia,SVN,2020,74.53029306,46.151241,14.995463
South Africa,ZAF,2020,1361.63922,-30.559482,22.937506
South Korea,KOR,2020,3274.316058,35.907757,127.766922
Spain,ESP,2020,1381.182742,40.463667,-3.74922
Sri Lanka,LKA,2020,90.7339725,7.873054,80.771797
Sweden,SWE,2020,610.9486944,60.128161,18.643501
Switzerland,CHE,2020,299.4208842,46.818188,8.227512
Taiwan,TWN,2020,1338.484636,23.69781,120.960515
Thailand,THA,2020,1421.845517,15.870032,100.992541
Trinidad and Tobago,TTO,2020,173.2565456,10.691803,-61.222503
Turkey,TUR,2020,1747.136564,38.963745,35.243322
Turkmenistan,TKM,2020,389.8513172,38.969719,59.556278
Ukraine,UKR,2020,920.5272564,48.379433,31.16558
United Arab Emirates,ARE,2020,1163.957678,23.424076,53.847818
United Kingdom,GBR,2020,1915.147259,55.378051,-3.435973
United States,USA,2020,24387.38816,37.09024,-95.712891
Uzbekistan,UZB,2020,520.1797867,41.377491,64.585262
Venezuela,VEN,2020,400.4291931,6.42375,-66.58973
Vietnam,VNM,2020,1135.833463,14.058324,108.277199
