Entity,Code,Year,Energy consumption per capita (kWh),Longitude,Latitude,,,199
Afghanistan,AFG,2016,1010.014,67.709953,33.93911,,,
Albania,ALB,2016,13668.121,20.168331,41.153332,,,
Algeria,DZA,2016,15210.944,1.659626,28.033886,,,
American Samoa,ASM,2016,26149.812,-170.132217,-14.270972,,,
Angola,AGO,2016,3605.892,17.873887,-11.202692,,,
Antigua and Barbuda,ATG,2016,32287.022,-61.796428,17.060816,,,
Argentina,ARG,2016,22832.315,-63.616672,-38.416097,,,
Armenia,ARM,2016,14331.248,45.038189,40.069099,,,
Aruba,ABW,2016,51604.092,-69.968338,12.52111,,,
Australia,AUS,2016,67349.654,133.775136,-25.274398,,,
Austria,AUT,2016,45481.414,14.550072,47.516231,,,
Azerbaijan,AZE,2016,17394.072,47.576927,40.143105,,,
Bahamas,BHS,2016,32751.069,-77.39628,25.03428,,,
Bahrain,BHR,2016,142158.902,50.637772,25.930414,,,
Bangladesh,BGD,2016,2361.492,90.356331,23.684994,,,
Barbados,BRB,2016,25106.714,-59.543198,13.193887,,,
Belarus,BLR,2016,28325.44,27.953389,53.709807,,,
Belgium,BEL,2016,64278.427,4.469936,50.503887,,,
Belize,BLZ,2016,8390.657,-88.49765,17.189877,,,
Benin,BEN,2016,2128.549,2.315834,9.30769,,,
Bermuda,BMU,2016,50229.446,-64.75737,32.321384,,,
Bhutan,BTN,2016,33586.22,90.433601,27.514162,,,
Bolivia,BOL,2016,8243.057,-63.588653,-16.290154,,,
Bosnia and Herzegovina,BIH,2016,24397.519,17.679076,43.915886,,,
Botswana,BWA,2016,9749.645,24.684866,-22.328474,,,
Brazil,BRA,2016,16058.664,-51.92528,-14.235004,,,
British Virgin Islands,VGB,2016,26163.925,-64.639968,18.420695,,,
Brunei,BRN,2016,123822.666,114.727669,4.535277,,,
Bulgaria,BGR,2016,29425.26,25.48583,42.733883,,,
Burkina Faso,BFA,2016,763.064,-1.561593,12.238333,,,
Burundi,BDI,2016,162.382,29.918886,-3.373056,,,
Cambodia,KHM,2016,2933.223,104.990963,12.565679,,,
Cameroon,CMR,2016,2003.014,12.354722,7.369722,,,
Canada,CAN,2016,106404.161,-106.346771,56.130366,,,
Cape Verde,CPV,2016,6922.608,-24.013197,16.002082,,,
Cayman Islands,CYM,2016,42140.925,-80.566956,19.513469,,,
Central African Republic,CAF,2016,479.422,20.939444,6.611111,,,
Chad,TCD,2016,98.334,18.732207,15.454166,,,
Chile,CHL,2016,23931.914,-71.542969,-35.675147,,,
China,CHN,2016,24938.401,104.195397,35.86166,,,
Colombia,COL,2016,10418.751,-74.297333,4.570868,,,
Comoros,COM,2016,997.514,43.872219,-11.875001,,,
Cook Islands,COK,2016,20915.157,-159.777671,-21.236736,,,
Costa Rica,CRI,2016,12889.93,-83.753428,9.748917,,,
Croatia,HRV,2016,22131.93,15.2,45.1,,,
Cuba,CUB,2016,11127.028,-77.781167,21.521757,,,
Cyprus,CYP,2016,27043.816,33.429859,35.126413,,,
Denmark,DNK,2016,34302.118,9.501785,56.26392,,,
Djibouti,DJI,2016,4186.113,42.590275,11.825138,,,
Dominica,DMA,2016,12773.826,-61.370976,15.414999,,,
Dominican Republic,DOM,2016,10118.515,-70.162651,18.735693,,,
Ecuador,ECU,2016,11179.203,-78.183406,-1.831239,,,
Egypt,EGY,2016,10998.843,30.802498,26.820553,,,
El Salvador,SLV,2016,6328.875,-88.89653,13.794185,,,
Equatorial Guinea,GNQ,2016,13371.146,10.267895,1.650801,,,
Eritrea,ERI,2016,768.8,39.782334,15.179384,,,
Estonia,EST,2016,53537.079,25.013607,58.595272,,,
Ethiopia,ETH,2016,777.152,40.489673,9.145,,,
Fiji,FJI,2016,12748.308,179.414413,-16.578193,,,
Finland,FIN,2016,59642.518,25.748151,61.92411,,,
France,FRA,2016,41930.685,2.213749,46.227638,,,
French Guiana,GUF,2016,16876.524,-53.125782,3.933889,,,
French Polynesia,PYF,2016,17260.787,-149.406843,-17.679742,,,
Gabon,GAB,2016,10763.719,11.609444,-0.803689,,,
Gambia,GMB,2016,1117.995,-15.310139,13.443182,,,
Georgia,GEO,2016,19301.406,43.356892,42.315407,,,
Germany,DEU,2016,46028.413,10.451526,51.165691,,,
Ghana,GHA,2016,2704.759,-1.023194,7.946527,,,
Gibraltar,GIB,2016,1524228.108,-5.345374,36.137741,,,
Greece,GRC,2016,28991.961,21.824312,39.074208,,,
Greenland,GRL,2016,63928.053,-42.604303,71.706936,,,
Grenada,GRD,2016,10802.064,-61.604171,12.262776,,,
Guadeloupe,GLP,2016,21277.95,-62.067641,16.995971,,,
Guam,GUM,2016,55659.85,144.793731,13.444304,,,
Guatemala,GTM,2016,5198.369,-90.230759,15.783471,,,
Guinea,GIN,2016,1076.807,-9.696645,9.945587,,,
Guinea-Bissau,GNB,2016,950.849,-15.180413,11.803749,,,
Guyana,GUY,2016,11180.936,-58.93018,4.860416,,,
Haiti,HTI,2016,1414.389,-72.285215,18.971187,,,
Honduras,HND,2016,5400.669,-86.241905,15.199999,,,
Hong Kong,HKG,2016,46264.723,114.109497,22.396428,,,
Hungary,HUN,2016,26512.968,19.503304,47.162494,,,
Iceland,ISL,2016,177647.358,-19.020835,64.963051,,,
India,IND,2016,6305.748,78.96288,20.593684,,,
Indonesia,IDN,2016,7752.315,113.921327,-0.789275,,,
Iran,IRN,2016,37680.621,53.688046,32.427908,,,
Iraq,IRQ,2016,14723.185,43.679291,33.223191,,,
Ireland,IRL,2016,38377.773,-8.24389,53.41291,,,
Israel,ISR,2016,35556.614,34.851612,31.046051,,,
Italy,ITA,2016,29445.833,12.56738,41.87194,,,
Jamaica,JAM,2016,12888.467,-77.297508,18.109581,,,
Japan,JPN,2016,40543.449,138.252924,36.204824,,,
Jordan,JOR,2016,13768.738,36.238414,30.585164,,,
Kazakhstan,KAZ,2016,42123.318,66.923684,48.019573,,,
Kenya,KEN,2016,1906.408,37.906193,-0.023559,,,
Kiribati,KIR,2016,2262.217,-168.734039,-3.370417,,,
Kuwait,KWT,2016,118318.232,47.481766,29.31166,,,
Kyrgyzstan,KGZ,2016,11239.676,74.766098,41.20438,,,
Laos,LAO,2016,12008.863,102.495496,19.85627,,,
Latvia,LVA,2016,22037.449,24.603189,56.879635,,,
Lebanon,LBN,2016,14187.92,35.862285,33.854721,,,
Lesotho,LSO,2016,2106.94,28.233608,-29.609988,,,
Liberia,LBR,2016,1038.037,-9.429499,6.428055,,,
Libya,LBY,2016,32575.981,17.228331,26.3351,,,
Lithuania,LTU,2016,22310.548,23.881275,55.169438,,,
Luxembourg,LUX,2016,73131.15,6.129583,49.815273,,,
Madagascar,MDG,2016,693.316,46.869107,-18.766947,,,
Malawi,MWI,2016,474.767,34.301525,-13.254308,,,
Malaysia,MYS,2016,38095.509,101.975766,4.210484,,,
Maldives,MDV,2016,14105.764,73.22068,3.202778,,,
Mali,MLI,2016,937.768,-3.996166,17.570692,,,
Malta,MLT,2016,74465.286,14.375416,35.937496,,,
Martinique,MTQ,2016,28376.165,-61.024174,14.641528,,,
Mauritania,MRT,2016,2725.641,-10.940835,21.00789,,,
Mauritius,MUS,2016,19921.093,57.552152,-20.348404,,,
Mexico,MEX,2016,17534.79,-102.552784,23.634501,,,
Moldova,MDA,2016,9391.908,28.369885,47.411631,,,
Mongolia,MNG,2016,19272.834,103.846656,46.862496,,,
Montenegro,MNE,2016,19890.785,19.37439,42.708678,,,
Montserrat,MSR,2016,47619.586,-62.187366,16.742498,,,
Morocco,MAR,2016,6312.383,-7.09262,31.791702,,,
Mozambique,MOZ,2016,3497.846,35.529562,-18.665695,,,
Namibia,NAM,2016,8577.086,18.49041,-22.95764,,,
Nauru,NRU,2016,29983.823,166.931503,-0.522778,,,
Nepal,NPL,2016,1720.801,84.124008,28.394857,,,
Netherlands,NLD,2016,58544.933,5.291266,52.132633,,,
New Caledonia,NCL,2016,77854.039,165.618042,-20.904305,,,
New Zealand,NZL,2016,53336.116,174.885971,-40.900557,,,
Nicaragua,NIC,2016,4629.056,-85.207229,12.865416,,,
Niger,NER,2016,472.511,8.081666,17.607789,,,
Nigeria,NGA,2016,2725.678,8.675277,9.081999,,,
Niue,NIU,2016,14999.042,-169.867233,-19.054445,,,
North Korea,PRK,2016,4520.939,127.510093,40.339852,,,
Northern Mariana Islands,MNP,2016,0,145.38469,17.33083,,,
Norway,NOR,2016,101263.059,8.468946,60.472024,,,
Oman,OMN,2016,75031.772,55.923255,21.512583,,,
Pakistan,PAK,2016,4347.326,69.345116,30.375321,,,
Panama,PAN,2016,30704.049,-80.782127,8.537981,,,
Papua New Guinea,PNG,2016,3250.965,143.95555,-6.314993,,,
Paraguay,PRY,2016,31800.437,-58.443832,-23.442503,,,
Peru,PER,2016,9748.041,-75.015152,-9.189967,,,
Philippines,PHL,2016,4648.659,121.774017,12.879721,,,
Poland,POL,2016,30350.815,19.145136,51.919438,,,
Portugal,PRT,2016,29132.501,-8.224454,39.399872,,,
Puerto Rico,PRI,2016,25997.393,-66.590149,18.220833,,,
Qatar,QAT,2016,208849.051,51.183884,25.354826,,,
Romania,ROU,2016,19062.626,24.96676,45.943161,,,
Russia,RUS,2016,54990.735,105.318756,61.52401,,,
Rwanda,RWA,2016,425.29,29.873888,-1.940278,,,
Saint Helena,SHN,2016,7162.702,-10.030696,-24.143474,,,
Saint Kitts and Nevis,KNA,2016,20122.61,-62.782998,17.357822,,,
Saint Lucia,LCA,2016,10202.163,-60.978893,13.909444,,,
Saint Pierre and Miquelon,SPM,2016,67948.608,-56.27111,46.941936,,,
Saint Vincent and the Grenadines,VCT,2016,9396.696,-61.287228,12.984305,,,
Samoa,WSM,2016,7892.218,-172.104629,-13.759029,,,
Saudi Arabia,SAU,2016,93983.678,45.079162,23.885942,,,
Senegal,SEN,2016,2287.241,-14.452362,14.497401,,,
Serbia,SRB,2016,21482.462,21.005859,44.016521,,,
Seychelles,SYC,2016,47532.375,55.491977,-4.679574,,,
Sierra Leone,SLE,2016,627.853,-11.779889,8.460555,,,
Singapore,SGP,2016,170887.453,103.819836,1.352083,,,
Slovakia,SVK,2016,33273.469,19.699024,48.669026,,,
Slovenia,SVN,2016,37948.446,14.995463,46.151241,,,
Solomon Islands,SLB,2016,1567.979,160.156194,-9.64571,,,
Somalia,SOM,2016,243.785,46.199616,5.152149,,,
South Africa,ZAF,2016,26181.141,22.937506,-30.559482,,,
South Korea,KOR,2016,66260.338,127.766922,35.907757,,,
Spain,ESP,2016,33743.666,-3.74922,40.463667,,,
Sri Lanka,LKA,2016,4095.598,80.771797,7.873054,,,
Sudan,SDN,2016,2234.268,30.217636,12.862807,,,
Suriname,SUR,2016,20463.463,-56.027783,3.919305,,,
Sweden,SWE,2016,60480.052,18.643501,60.128161,,,
Switzerland,CHE,2016,36749.343,8.227512,46.818188,,,
Syria,SYR,2016,7157.871,38.996815,34.802075,,,
Taiwan,TWN,2016,57025.065,120.960515,23.69781,,,
Tajikistan,TJK,2016,7956.903,71.276093,38.861034,,,
Tanzania,TZA,2016,1299.273,34.888822,-6.369028,,,
Thailand,THA,2016,21586.529,100.992541,15.870032,,,
Togo,TGO,2016,1441.214,0.824782,8.619543,,,
Tonga,TON,2016,5505.05,-175.198242,-21.178986,,,
Trinidad and Tobago,TTO,2016,143129.432,-61.222503,10.691803,,,
Tunisia,TUN,2016,10223.993,9.537499,33.886917,,,
Turkey,TUR,2016,20915.628,35.243322,38.963745,,,
Turkmenistan,TKM,2016,58202.13,59.556278,38.969719,,,
Turks and Caicos Islands,TCA,2016,24066.15,-71.797928,21.694025,,,
Uganda,UGA,2016,715.887,32.290275,1.373333,,,
Ukraine,UKR,2016,23122.011,31.16558,48.379433,,,
United Arab Emirates,ARE,2016,138225.234,53.847818,23.424076,,,
United Kingdom,GBR,2016,33577.337,-3.435973,55.378051,,,
United States of America,USA,2016,79130.818,-95.712891,37.09024,,,
Uruguay,URY,2016,20204.327,-55.765835,-32.522779,,,
Uzbekistan,UZB,2016,15735.437,64.585262,41.377491,,,
Vanuatu,VUT,2016,2515.737,166.959158,-15.376706,,,
Venezuela,VEN,2016,27817.912,-66.58973,6.42375,,,
Vietnam,VNM,2016,9226.983,108.277199,14.058324,,,
Western Sahara,ESH,2016,1982.334,-12.885834,24.215527,,,
Yemen,YEM,2016,2525.176,48.516388,15.552727,,,
Zambia,ZMB,2016,2832.411,27.849332,-13.133897,,,
Zimbabwe,ZWE,2016,3385.574,29.154857,-19.015438,,,
