Entity,Code,Year,Energy consumption per capita (kWh),Longitude,Latitude
Algeria,DZA,2019,16376.102,1.659626,28.033886
Argentina,ARG,2019,21479.671,-63.616672,-38.416097
Australia,AUS,2019,70644.033,133.775136,-25.274398
Austria,AUT,2019,46523.958,14.550072,47.516231
Azerbaijan,AZE,2019,18127.566,47.576927,40.143105
Bangladesh,BGD,2019,2995.38,90.356331,23.684994
Belarus,BLR,2019,31081.284,27.953389,53.709807
Belgium,BEL,2019,65302.717,4.469936,50.503887
Brazil,BRA,2019,16325.047,-51.92528,-14.235004
Bulgaria,BGR,2019,29649.22,25.48583,42.733883
Canada,CAN,2019,105539.881,-106.346771,56.130366
Chile,CHL,2019,24269.273,-71.542969,-35.675147
China,CHN,2019,27452.478,104.195397,35.86166
Colombia,COL,2019,10618.229,-74.297333,4.570868
Croatia,HRV,2019,22870.486,15.2,45.1
Cyprus,CYP,2019,27022.732,33.429859,35.126413
Denmark,DNK,2019,33534.557,9.501785,56.26392
Ecuador,ECU,2019,11899.704,-78.183406,-1.831239
Egypt,EGY,2019,10753,30.802498,26.820553
Estonia,EST,2019,50000.799,25.013607,58.595272
Finland,FIN,2019,55118.024,25.748151,61.92411
France,FRA,2019,41281.299,2.213749,46.227638
Germany,DEU,2019,43703.379,10.451526,51.165691
Greece,GRC,2019,30383.697,21.824312,39.074208
Hong Kong,HKG,2019,46370.72,114.109497,22.396428
Hungary,HUN,2019,28488.966,19.503304,47.162494
Iceland,ISL,2019,179962.796,-19.020835,64.963051
India,IND,2019,6923.931,78.96288,20.593684
Indonesia,IDN,2019,9146.767,113.921327,-0.789275
Iran,IRN,2019,41354.455,53.688046,32.427908
Iraq,IRQ,2019,15733.708,43.679291,33.223191
Ireland,IRL,2019,37739.296,-8.24389,53.41291
Israel,ISR,2019,36717.179,34.851612,31.046051
Italy,ITA,2019,29239.012,12.56738,41.87194
Japan,JPN,2019,40888.804,138.252924,36.204824
Kazakhstan,KAZ,2019,46415.639,66.923684,48.019573
Kuwait,KWT,2019,108127.063,47.481766,29.31166
Latvia,LVA,2019,23136.925,24.603189,56.879635
Lithuania,LTU,2019,24641.049,23.881275,55.169438
Luxembourg,LUX,2019,76658.118,6.129583,49.815273
Malaysia,MYS,2019,37053.569,101.975766,4.210484
Mexico,MEX,2019,16810.783,-102.552784,23.634501
Morocco,MAR,2019,7227.94,-7.09262,31.791702
Netherlands,NLD,2019,57046.584,5.291266,52.132633
New Zealand,NZL,2019,53224.651,174.885971,-40.900557
Norway,NOR,2019,91240.272,8.468946,60.472024
Oman,OMN,2019,84532.482,55.923255,21.512583
Pakistan,PAK,2019,4566.901,69.345116,30.375321
Peru,PER,2019,9924.199,-75.015152,-9.189967
Philippines,PHL,2019,5200.079,121.774017,12.879721
Poland,POL,2019,31355.418,19.145136,51.919438
Portugal,PRT,2019,28328.318,-8.224454,39.399872
Qatar,QAT,2019,198418.117,51.183884,25.354826
Romania,ROU,2019,19665.135,24.96676,45.943161
Russia,RUS,2019,56756.466,105.318756,61.52401
Saudi Arabia,SAU,2019,89451.938,45.079162,23.885942
Singapore,SGP,2019,169886.083,103.819836,1.352083
Slovakia,SVK,2019,33458.196,19.699024,48.669026
Slovenia,SVN,2019,37446.178,14.995463,46.151241
South Africa,ZAF,2019,25619.735,22.937506,-30.559482
South Korea,KOR,2019,67083.32,127.766922,35.907757
Spain,ESP,2019,34004.435,-3.74922,40.463667
Sri Lanka,LKA,2019,4671.618,80.771797,7.873054
Sweden,SWE,2019,62046.921,18.643501,60.128161
Switzerland,CHE,2019,36542.174,8.227512,46.818188
Taiwan,TWN,2019,56205.531,120.960515,23.69781
Thailand,THA,2019,22398.508,100.992541,15.870032
Trinidad and Tobago,TTO,2019,142118.82,-61.222503,10.691803
Turkey,TUR,2019,21609.123,35.243322,38.963745
Turkmenistan,TKM,2019,67658.403,59.556278,38.969719
Ukraine,UKR,2019,21501.22,31.16558,48.379433
United Arab Emirates,ARE,2019,137317.77,53.847818,23.424076
United Kingdom,GBR,2019,32249.735,-3.435973,55.378051
United States,USA,2019,79897.151,-95.712891,37.09024
Uzbekistan,UZB,2019,15022.418,64.585262,41.377491
Venezuela,VEN,2019,21691.926,-66.58973,6.42375
Vietnam,VNM,2019,11861.738,108.277199,14.058324
