Entity,Code,Year,Primary Energy Consumption - TWh
Africa,,1965,698.9998213888889
Africa,,1966,735.008128611111
Africa,,1967,741.0927027777778
Africa,,1968,781.6605127777777
Africa,,1969,800.4993675
Africa,,1970,872.8383188888888
Africa,,1971,948.5907408333334
Africa,,1972,1005.9079052777778
Africa,,1973,1089.1141391666663
Africa,,1974,1141.9761680555555
Africa,,1975,1208.7599375
Africa,,1976,1322.948223888889
Africa,,1977,1391.410738888889
Africa,,1978,1444.9827238888888
Africa,,1979,1584.174875833333
Africa,,1980,1700.516141111111
Africa,,1981,1892.19943
Africa,,1982,2020.2759852777776
Africa,,1983,2074.0353130555554
Africa,,1984,2142.948031944444
Africa,,1985,2226.488708888889
Africa,,1986,2279.403872777777
Africa,,1987,2354.140915
Africa,,1988,2518.829403611111
Africa,,1989,2525.990308888889
Africa,,1990,2606.333595833333
Africa,,1991,2599.656413888889
Africa,,1992,2640.204733333333
Africa,,1993,2645.987309166667
Africa,,1994,2736.8037833333333
Africa,,1995,2848.2862638888887
Africa,,1996,2924.556330555555
Africa,,1997,2980.8296333333337
Africa,,1998,3027.1301972222223
Africa,,1999,3120.4262722222225
Africa,,2000,3193.5903166666667
Africa,,2001,3305.5833944444444
Africa,,2002,3346.388147222222
Africa,,2003,3505.433233333333
Africa,,2004,3742.319130555555
Africa,,2005,3776.6877666666655
Africa,,2006,3841.071619444444
Africa,,2007,3983.377827777778
Africa,,2008,4224.608461111111
Africa,,2009,4301.272255555556
Africa,,2010,4442.375838888889
Africa,,2011,4456.761272222222
Africa,,2012,4621.306380555556
Africa,,2013,4751.043597222222
Africa,,2014,4930.544522222222
Africa,,2015,5024.891866666667
Africa,,2016,5163.86101111111
Africa,,2017,5285.288277777778
Africa,,2018,5417.288791666667
Africa,,2019,5520.0559583333325
Africa,,2020,5162.274744444445
Algeria,DZA,1965,24.760963055555557
Algeria,DZA,1966,29.768906388888887
Algeria,DZA,1967,28.17393
Algeria,DZA,1968,30.244090277777776
Algeria,DZA,1969,33.47449527777778
Algeria,DZA,1970,36.65495694444444
Algeria,DZA,1971,39.67370694444444
Algeria,DZA,1972,44.55913916666667
Algeria,DZA,1973,53.11591138888888
Algeria,DZA,1974,58.81986638888889
Algeria,DZA,1975,70.31089861111111
Algeria,DZA,1976,82.03239805555555
Algeria,DZA,1977,90.16439583333332
Algeria,DZA,1978,113.31666916666666
Algeria,DZA,1979,148.48806055555556
Algeria,DZA,1980,177.09688888888888
Algeria,DZA,1981,215.1205894444444
Algeria,DZA,1982,248.0262733333333
Algeria,DZA,1983,270.92454888888886
Algeria,DZA,1984,260.1151919444444
Algeria,DZA,1985,262.1808075
Algeria,DZA,1986,277.4457486111111
Algeria,DZA,1987,285.078675
Algeria,DZA,1988,305.3890319444444
Algeria,DZA,1989,297.0277688888889
Algeria,DZA,1990,314.9495358333333
Algeria,DZA,1991,312.042575
Algeria,DZA,1992,320.19122333333337
Algeria,DZA,1993,297.93172222222216
Algeria,DZA,1994,301.8913569444444
Algeria,DZA,1995,313.1102438888889
Algeria,DZA,1996,309.9005397222222
Algeria,DZA,1997,297.84631277777777
Algeria,DZA,1998,308.3104602777778
Algeria,DZA,1999,311.3977947222222
Algeria,DZA,2000,299.9359672222222
Algeria,DZA,2001,310.80068083333333
Algeria,DZA,2002,321.940445
Algeria,DZA,2003,336.8755405555556
Algeria,DZA,2004,349.73396638888886
Algeria,DZA,2005,366.17516666666666
Algeria,DZA,2006,379.18251583333335
Algeria,DZA,2007,399.6010336111111
Algeria,DZA,2008,423.5087311111111
Algeria,DZA,2009,448.8014566666666
Algeria,DZA,2010,438.9642666666667
Algeria,DZA,2011,464.4220552777778
Algeria,DZA,2012,507.6027794444444
Algeria,DZA,2013,536.9557366666667
Algeria,DZA,2014,585.57158
Algeria,DZA,2015,617.4818805555556
Algeria,DZA,2016,616.9413225
Algeria,DZA,2017,623.7012758333333
Algeria,DZA,2018,671.0546255555555
Algeria,DZA,2019,695.1428058333333
Algeria,DZA,2020,638.4964061111111
Argentina,ARG,1965,328.3321086111111
Argentina,ARG,1966,338.9625186111111
Argentina,ARG,1967,348.7977041666666
Argentina,ARG,1968,360.5508830555556
Argentina,ARG,1969,372.63961277777776
Argentina,ARG,1970,353.1244408333333
Argentina,ARG,1971,374.3954527777777
Argentina,ARG,1972,379.1050944444444
Argentina,ARG,1973,395.89599166666665
Argentina,ARG,1974,411.3310697222222
Argentina,ARG,1975,401.89682222222217
Argentina,ARG,1976,421.56100833333335
Argentina,ARG,1977,440.2434619444445
Argentina,ARG,1978,440.4867497222222
Argentina,ARG,1979,472.56523833333335
Argentina,ARG,1980,469.0580675
Argentina,ARG,1981,455.1340744444444
Argentina,ARG,1982,463.1499875
Argentina,ARG,1983,482.5888288888889
Argentina,ARG,1984,483.5609841666666
Argentina,ARG,1985,477.47076333333337
Argentina,ARG,1986,504.5904761111111
Argentina,ARG,1987,527.2607127777778
Argentina,ARG,1988,536.9459133333334
Argentina,ARG,1989,518.1252255555555
Argentina,ARG,1990,509.7231986111111
Argentina,ARG,1991,518.8486697222222
Argentina,ARG,1992,557.0118563888889
Argentina,ARG,1993,572.49414
Argentina,ARG,1994,605.2869750000001
Argentina,ARG,1995,628.4213894444445
Argentina,ARG,1996,662.5400050000001
Argentina,ARG,1997,674.1077566666667
Argentina,ARG,1998,700.3615666666666
Argentina,ARG,1999,706.8832658333333
Argentina,ARG,2000,709.0466766666666
Argentina,ARG,2001,690.7431669444444
Argentina,ARG,2002,663.9707322222223
Argentina,ARG,2003,709.36236
Argentina,ARG,2004,752.0681727777778
Argentina,ARG,2005,798.0262755555556
Argentina,ARG,2006,839.3995066666666
Argentina,ARG,2007,879.0952444444443
Argentina,ARG,2008,888.7510480555555
Argentina,ARG,2009,864.1265538888888
Argentina,ARG,2010,898.2526075000001
Argentina,ARG,2011,926.8299672222222
Argentina,ARG,2012,961.1334175
Argentina,ARG,2013,998.4860302777776
Argentina,ARG,2014,996.7517869444443
Argentina,ARG,2015,1015.8114433333332
Argentina,ARG,2016,1009.0070594444444
Argentina,ARG,2017,1011.4572519444444
Argentina,ARG,2018,997.1022908333332
Argentina,ARG,2019,939.0859280555557
Argentina,ARG,2020,874.6116122222222
Asia Pacific,,1965,5195.36888611111
Asia Pacific,,1966,5641.395711111111
Asia Pacific,,1967,5908.297388888889
Asia Pacific,,1968,6367.316447222222
Asia Pacific,,1969,7235.479333333333
Asia Pacific,,1970,8237.080177777778
Asia Pacific,,1971,9021.071744444444
Asia Pacific,,1972,9554.85383888889
Asia Pacific,,1973,10320.586019444445
Asia Pacific,,1974,10542.211861111113
Asia Pacific,,1975,10945.956677777776
Asia Pacific,,1976,11473.960219444443
Asia Pacific,,1977,12140.652213888889
Asia Pacific,,1978,12972.489980555556
Asia Pacific,,1979,13573.95575
Asia Pacific,,1980,13689.969674999998
Asia Pacific,,1981,13791.468966666667
Asia Pacific,,1982,13925.3276
Asia Pacific,,1983,14544.320230555555
Asia Pacific,,1984,15554.174666666666
Asia Pacific,,1985,16314.806463888888
Asia Pacific,,1986,17004.765108333333
Asia Pacific,,1987,17966.496394444443
Asia Pacific,,1988,19277.272616666665
Asia Pacific,,1989,20311.418755555555
Asia Pacific,,1990,21154.76755277778
Asia Pacific,,1991,22124.166175
Asia Pacific,,1992,23147.539866666662
Asia Pacific,,1993,24367.839233333336
Asia Pacific,,1994,25708.973575
Asia Pacific,,1995,26995.096308333334
Asia Pacific,,1996,28254.026166666667
Asia Pacific,,1997,29116.91002777778
Asia Pacific,,1998,29018.63738888889
Asia Pacific,,1999,30133.875194444445
Asia Pacific,,2000,31253.80483333333
Asia Pacific,,2001,32272.81197222222
Asia Pacific,,2002,33899.47855555556
Asia Pacific,,2003,36689.96875
Asia Pacific,,2004,40306.07405555555
Asia Pacific,,2005,43415.96594444444
Asia Pacific,,2006,45970.72905555556
Asia Pacific,,2007,48835.540888888885
Asia Pacific,,2008,50188.64966666666
Asia Pacific,,2009,51309.61122222222
Asia Pacific,,2010,54611.696388888886
Asia Pacific,,2011,57498.089166666665
Asia Pacific,,2012,59368.689638888885
Asia Pacific,,2013,61136.44508333333
Asia Pacific,,2014,62605.00375
Asia Pacific,,2015,63710.49288888889
Asia Pacific,,2016,65067.93747222222
Asia Pacific,,2017,67057.02100000001
Asia Pacific,,2018,69402.07427777778
Asia Pacific,,2019,71261.09638888888
Asia Pacific,,2020,70347.09288888889
Australia,AUS,1965,424.2592669444444
Australia,AUS,1966,444.6675263888889
Australia,AUS,1967,471.6098094444444
Australia,AUS,1968,500.1520644444444
Australia,AUS,1969,520.7555155555556
Australia,AUS,1970,568.1707491666666
Australia,AUS,1971,596.6363630555555
Australia,AUS,1972,623.9084916666667
Australia,AUS,1973,667.0140852777778
Australia,AUS,1974,709.2369319444444
Australia,AUS,1975,721.0294944444445
Australia,AUS,1976,746.3510883333332
Australia,AUS,1977,783.363501388889
Australia,AUS,1978,808.4230447222221
Australia,AUS,1979,838.5651408333332
Australia,AUS,1980,841.674041111111
Australia,AUS,1981,855.1414469444444
Australia,AUS,1982,847.4170469444445
Australia,AUS,1983,818.5878763888888
Australia,AUS,1984,849.8849538888888
Australia,AUS,1985,874.8826461111111
Australia,AUS,1986,892.2007661111111
Australia,AUS,1987,918.5472625
Australia,AUS,1988,960.5788452777778
Australia,AUS,1989,1009.1936922222222
Australia,AUS,1990,1030.074616388889
Australia,AUS,1991,1022.2014230555554
Australia,AUS,1992,1039.0515163888888
Australia,AUS,1993,1060.8609155555555
Australia,AUS,1994,1102.2790725
Australia,AUS,1995,1151.1505541666666
Australia,AUS,1996,1184.877040277778
Australia,AUS,1997,1214.0091502777775
Australia,AUS,1998,1243.041785
Australia,AUS,1999,1293.8710849999998
Australia,AUS,2000,1302.4511969444443
Australia,AUS,2001,1312.78387
Australia,AUS,2002,1338.9072952777778
Australia,AUS,2003,1357.7191730555555
Australia,AUS,2004,1400.6282202777777
Australia,AUS,2005,1404.4863416666667
Australia,AUS,2006,1465.4367416666664
Australia,AUS,2007,1496.329458888889
Australia,AUS,2008,1517.1555458333332
Australia,AUS,2009,1490.5833216666667
Australia,AUS,2010,1480.258516111111
Australia,AUS,2011,1523.501842777778
Australia,AUS,2012,1504.6295388888889
Australia,AUS,2013,1523.7199208333332
Australia,AUS,2014,1539.0146475
Australia,AUS,2015,1575.6364097222222
Australia,AUS,2016,1582.2716447222222
Australia,AUS,2017,1574.2437699999998
Australia,AUS,2018,1582.531618611111
Australia,AUS,2019,1632.5293161111113
Australia,AUS,2020,1546.830180833333
Austria,AUT,1965,186.61602138888887
Austria,AUT,1966,195.21915555555557
Austria,AUT,1967,197.1918086111111
Austria,AUT,1968,210.98261055555557
Austria,AUT,1969,218.9304383333333
Austria,AUT,1970,250.3338708333333
Austria,AUT,1971,250.06978388888888
Austria,AUT,1972,258.72762666666665
Austria,AUT,1973,278.0676213888889
Austria,AUT,1974,278.8918711111111
Austria,AUT,1975,276.7992102777778
Austria,AUT,1976,287.20811
Austria,AUT,1977,287.1316005555556
Austria,AUT,1978,299.7201577777778
Austria,AUT,1979,317.18190500000003
Austria,AUT,1980,315.6569808333333
Austria,AUT,1981,305.99192805555555
Austria,AUT,1982,295.7846672222222
Austria,AUT,1983,295.0101772222222
Austria,AUT,1984,292.6568647222222
Austria,AUT,1985,307.2790452777777
Austria,AUT,1986,310.3626975
Austria,AUT,1987,327.3016983333333
Austria,AUT,1988,322.3720230555556
Austria,AUT,1989,324.22919194444444
Austria,AUT,1990,329.04749166666664
Austria,AUT,1991,345.3708652777778
Austria,AUT,1992,339.17509083333334
Austria,AUT,1993,344.9823847222222
Austria,AUT,1994,343.0683813888889
Austria,AUT,1995,359.6178561111111
Austria,AUT,1996,360.7125408333333
Austria,AUT,1997,368.0849836111111
Austria,AUT,1998,373.85079055555553
Austria,AUT,1999,381.9685847222223
Austria,AUT,2000,383.28125972222216
Austria,AUT,2001,397.4135480555556
Austria,AUT,2002,398.16989527777775
Austria,AUT,2003,403.5490655555556
Austria,AUT,2004,410.2869472222222
Austria,AUT,2005,417.2613025
Austria,AUT,2006,412.54221972222217
Austria,AUT,2007,402.87180722222223
Austria,AUT,2008,410.9461641666667
Austria,AUT,2009,397.0281905555555
Austria,AUT,2010,410.53126805555553
Austria,AUT,2011,384.3917166666666
Austria,AUT,2012,403.15362416666665
Austria,AUT,2013,400.51488861111113
Austria,AUT,2014,383.8174025
Austria,AUT,2015,384.5299272222222
Austria,AUT,2016,397.1786925
Austria,AUT,2017,406.81486666666666
Austria,AUT,2018,397.1371986111111
Austria,AUT,2019,415.9643047222222
Austria,AUT,2020,384.35990444444445
Azerbaijan,AZE,1985,234.5012325
Azerbaijan,AZE,1986,252.4524383333333
Azerbaijan,AZE,1987,244.6437386111111
Azerbaijan,AZE,1988,244.84721694444443
Azerbaijan,AZE,1989,249.6830061111111
Azerbaijan,AZE,1990,260.0055572222222
Azerbaijan,AZE,1991,249.79813777777775
Azerbaijan,AZE,1992,213.8957233333333
Azerbaijan,AZE,1993,185.40891333333332
Azerbaijan,AZE,1994,170.4090175
Azerbaijan,AZE,1995,160.2428958333333
Azerbaijan,AZE,1996,131.37277277777778
Azerbaijan,AZE,1997,125.7597525
Azerbaijan,AZE,1998,126.2133361111111
Azerbaijan,AZE,1999,125.73864833333332
Azerbaijan,AZE,2000,131.27092666666667
Azerbaijan,AZE,2001,126.54993027777778
Azerbaijan,AZE,2002,124.95019694444444
Azerbaijan,AZE,2003,135.1628658333333
Azerbaijan,AZE,2004,153.2695211111111
Azerbaijan,AZE,2005,166.163025
Azerbaijan,AZE,2006,163.49653666666666
Azerbaijan,AZE,2007,147.89965777777778
Azerbaijan,AZE,2008,149.33637055555556
Azerbaijan,AZE,2009,131.93600694444444
Azerbaijan,AZE,2010,130.1367608333333
Azerbaijan,AZE,2011,144.77443305555556
Azerbaijan,AZE,2012,149.15811805555555
Azerbaijan,AZE,2013,153.35795583333334
Azerbaijan,AZE,2014,156.40237972222224
Azerbaijan,AZE,2015,170.998975
Azerbaijan,AZE,2016,169.34854555555555
Azerbaijan,AZE,2017,166.12961611111112
Azerbaijan,AZE,2018,170.94054277777775
Azerbaijan,AZE,2019,180.07893
Azerbaijan,AZE,2020,172.7443538888889
Bangladesh,BGD,1971,8.135291666666665
Bangladesh,BGD,1972,15.88825527777778
Bangladesh,BGD,1973,19.622549444444445
Bangladesh,BGD,1974,20.2773775
Bangladesh,BGD,1975,23.018237777777777
Bangladesh,BGD,1976,26.407285833333333
Bangladesh,BGD,1977,27.110265
Bangladesh,BGD,1978,29.21617861111111
Bangladesh,BGD,1979,32.36121527777778
Bangladesh,BGD,1980,36.473596944444445
Bangladesh,BGD,1981,36.727688055555554
Bangladesh,BGD,1982,40.54761916666667
Bangladesh,BGD,1983,40.071554166666665
Bangladesh,BGD,1984,43.28176972222222
Bangladesh,BGD,1985,48.14166611111111
Bangladesh,BGD,1986,52.455930555555554
Bangladesh,BGD,1987,57.89189444444444
Bangladesh,BGD,1988,64.45540472222223
Bangladesh,BGD,1989,69.44937250000001
Bangladesh,BGD,1990,73.69798027777779
Bangladesh,BGD,1991,71.10443000000001
Bangladesh,BGD,1992,77.56790055555555
Bangladesh,BGD,1993,85.32679416666667
Bangladesh,BGD,1994,90.53828222222222
Bangladesh,BGD,1995,107.0419588888889
Bangladesh,BGD,1996,112.0700272222222
Bangladesh,BGD,1997,117.76196055555556
Bangladesh,BGD,1998,125.4041636111111
Bangladesh,BGD,1999,126.8360847222222
Bangladesh,BGD,2000,135.98660055555555
Bangladesh,BGD,2001,155.40818777777775
Bangladesh,BGD,2002,160.37891027777778
Bangladesh,BGD,2003,169.98684666666668
Bangladesh,BGD,2004,175.83337444444444
Bangladesh,BGD,2005,189.6282880555556
Bangladesh,BGD,2006,205.4612686111111
Bangladesh,BGD,2007,210.29225888888888
Bangladesh,BGD,2008,222.48844194444445
Bangladesh,BGD,2009,244.58956611111108
Bangladesh,BGD,2010,250.40871527777776
Bangladesh,BGD,2011,272.11153333333334
Bangladesh,BGD,2012,291.31731444444443
Bangladesh,BGD,2013,300.1776711111111
Bangladesh,BGD,2014,312.46300194444444
Bangladesh,BGD,2015,363.35192861111113
Bangladesh,BGD,2016,369.48246861111113
Bangladesh,BGD,2017,383.60602944444446
Bangladesh,BGD,2018,406.9852847222222
Bangladesh,BGD,2019,455.3868963888889
Bangladesh,BGD,2020,442.12109888888887
Belarus,BLR,1985,408.0401238888889
Belarus,BLR,1986,465.8347775
Belarus,BLR,1987,472.61578083333336
Belarus,BLR,1988,479.4013852777778
Belarus,BLR,1989,463.65707194444445
Belarus,BLR,1990,444.5687783333333
Belarus,BLR,1991,439.7649208333333
Belarus,BLR,1992,416.0677463888889
Belarus,BLR,1993,333.22253138888885
Belarus,BLR,1994,277.68071638888887
Belarus,BLR,1995,251.94481805555557
Belarus,BLR,1996,258.3304486111111
Belarus,BLR,1997,260.91611777777774
Belarus,BLR,1998,255.32583222222223
Belarus,BLR,1999,248.5305011111111
Belarus,BLR,2000,255.39873694444444
Belarus,BLR,2001,248.96640555555555
Belarus,BLR,2002,256.3765327777777
Belarus,BLR,2003,255.23119472222223
Belarus,BLR,2004,287.47772305555554
Belarus,BLR,2005,286.45111027777773
Belarus,BLR,2006,304.2698763888889
Belarus,BLR,2007,297.1241391666667
Belarus,BLR,2008,300.6273894444444
Belarus,BLR,2009,285.0032180555556
Belarus,BLR,2010,302.61114166666664
Belarus,BLR,2011,300.90681249999994
Belarus,BLR,2012,325.1414847222222
Belarus,BLR,2013,286.7354197222222
Belarus,BLR,2014,296.3074955555556
Belarus,BLR,2015,269.2357538888889
Belarus,BLR,2016,267.80317833333334
Belarus,BLR,2017,273.07159277777777
Belarus,BLR,2018,297.11056972222224
Belarus,BLR,2019,292.69339
Belarus,BLR,2020,272.8119572222222
Belgium,BEL,1965,412.89246972222224
Belgium,BEL,1966,397.8050333333333
Belgium,BEL,1967,417.60661416666665
Belgium,BEL,1968,465.3696155555556
Belgium,BEL,1969,510.7323105555556
Belgium,BEL,1970,539.5435580555555
Belgium,BEL,1971,529.3103655555556
Belgium,BEL,1972,562.6999719444444
Belgium,BEL,1973,570.2427
Belgium,BEL,1974,550.6859830555555
Belgium,BEL,1975,517.5467808333333
Belgium,BEL,1976,548.9366427777778
Belgium,BEL,1977,549.7467233333333
Belgium,BEL,1978,573.8190794444445
Belgium,BEL,1979,590.4690272222223
Belgium,BEL,1980,565.1825758333333
Belgium,BEL,1981,537.3401294444444
Belgium,BEL,1982,513.8655430555556
Belgium,BEL,1983,497.45993805555554
Belgium,BEL,1984,519.7466741666667
Belgium,BEL,1985,542.2279
Belgium,BEL,1986,559.2597855555555
Belgium,BEL,1987,576.0358219444444
Belgium,BEL,1988,587.4888136111111
Belgium,BEL,1989,591.9732155555556
Belgium,BEL,1990,618.6347608333334
Belgium,BEL,1991,640.1530044444444
Belgium,BEL,1992,638.73999
Belgium,BEL,1993,628.529816111111
Belgium,BEL,1994,661.3161169444444
Belgium,BEL,1995,669.4541119444444
Belgium,BEL,1996,711.1182933333333
Belgium,BEL,1997,718.2598108333333
Belgium,BEL,1998,732.4082538888889
Belgium,BEL,1999,726.9438583333333
Belgium,BEL,2000,740.1510044444444
Belgium,BEL,2001,733.7646758333333
Belgium,BEL,2002,730.2834200000001
Belgium,BEL,2003,758.4553430555555
Belgium,BEL,2004,761.2821838888889
Belgium,BEL,2005,752.4763636111112
Belgium,BEL,2006,754.2791177777779
Belgium,BEL,2007,759.1688180555556
Belgium,BEL,2008,771.1225813888889
Belgium,BEL,2009,720.3107852777778
Belgium,BEL,2010,767.6554313888888
Belgium,BEL,2011,716.5005266666666
Belgium,BEL,2012,686.5403002777778
Belgium,BEL,2013,705.2107836111111
Belgium,BEL,2014,655.3198647222222
Belgium,BEL,2015,664.5733158333334
Belgium,BEL,2016,716.3160941666666
Belgium,BEL,2017,724.0229725
Belgium,BEL,2018,718.624205
Belgium,BEL,2019,740.9417522222221
Belgium,BEL,2020,608.5665213888889
Brazil,BRA,1965,269.2970477777778
Brazil,BRA,1966,293.7790683333333
Brazil,BRA,1967,304.34809527777776
Brazil,BRA,1968,348.01111694444444
Brazil,BRA,1969,379.95320805555554
Brazil,BRA,1970,440.5046222222222
Brazil,BRA,1971,481.73863833333337
Brazil,BRA,1972,554.9665966666666
Brazil,BRA,1973,661.6672616666667
Brazil,BRA,1974,722.8167900000001
Brazil,BRA,1975,763.6794630555555
Brazil,BRA,1976,838.6899205555555
Brazil,BRA,1977,896.2747155555555
Brazil,BRA,1978,987.7843547222222
Brazil,BRA,1979,1069.4062491666666
Brazil,BRA,1980,1091.0862305555554
Brazil,BRA,1981,1063.6976927777778
Brazil,BRA,1982,1116.4567799999998
Brazil,BRA,1983,1138.5415805555556
Brazil,BRA,1984,1222.3965952777778
Brazil,BRA,1985,1301.6543594444445
Brazil,BRA,1986,1387.887492222222
Brazil,BRA,1987,1429.370797777778
Brazil,BRA,1988,1483.9609219444444
Brazil,BRA,1989,1513.8276616666665
Brazil,BRA,1990,1488.8631755555557
Brazil,BRA,1991,1546.0301208333333
Brazil,BRA,1992,1618.2649188888888
Brazil,BRA,1993,1690.5985669444444
Brazil,BRA,1994,1776.6589425
Brazil,BRA,1995,1865.465418055556
Brazil,BRA,1996,1969.7145005555556
Brazil,BRA,1997,2082.2400002777777
Brazil,BRA,1998,2158.2559147222223
Brazil,BRA,1999,2196.877197222222
Brazil,BRA,2000,2233.892298055556
Brazil,BRA,2001,2186.656184722222
Brazil,BRA,2002,2237.888517777777
Brazil,BRA,2003,2277.732745277778
Brazil,BRA,2004,2388.8123813888888
Brazil,BRA,2005,2456.1582616666665
Brazil,BRA,2006,2517.918968888889
Brazil,BRA,2007,2670.7892175
Brazil,BRA,2008,2787.2952138888886
Brazil,BRA,2009,2764.258316666667
Brazil,BRA,2010,3042.6562444444444
Brazil,BRA,2011,3182.8063444444447
Brazil,BRA,2012,3240.4325750000003
Brazil,BRA,2013,3362.015422222222
Brazil,BRA,2014,3438.7803638888886
Brazil,BRA,2015,3388.909455555556
Brazil,BRA,2016,3301.4941166666663
Brazil,BRA,2017,3343.2621
Brazil,BRA,2018,3365.821933333333
Brazil,BRA,2019,3450.384183333333
Brazil,BRA,2020,3335.555302777778
Bulgaria,BGR,1965,119.5672327777778
Bulgaria,BGR,1966,128.20520666666667
Bulgaria,BGR,1967,148.97826166666667
Bulgaria,BGR,1968,166.70372833333332
Bulgaria,BGR,1969,185.7381372222222
Bulgaria,BGR,1970,208.9728008333333
Bulgaria,BGR,1971,217.60811027777777
Bulgaria,BGR,1972,223.9428205555556
Bulgaria,BGR,1973,232.61302
Bulgaria,BGR,1974,239.60236361111112
Bulgaria,BGR,1975,264.7206102777778
Bulgaria,BGR,1976,280.17644277777777
Bulgaria,BGR,1977,295.14262472222225
Bulgaria,BGR,1978,305.74776305555554
Bulgaria,BGR,1979,317.29118861111107
Bulgaria,BGR,1980,334.9582697222222
Bulgaria,BGR,1981,329.84121416666665
Bulgaria,BGR,1982,337.9372372222222
Bulgaria,BGR,1983,340.0909152777777
Bulgaria,BGR,1984,338.1037727777778
Bulgaria,BGR,1985,335.69335416666667
Bulgaria,BGR,1986,342.49653722222223
Bulgaria,BGR,1987,345.0971211111111
Bulgaria,BGR,1988,352.9457161111111
Bulgaria,BGR,1989,349.9356505555556
Bulgaria,BGR,1990,323.2242002777778
Bulgaria,BGR,1991,261.0514258333333
Bulgaria,BGR,1992,245.17783166666663
Bulgaria,BGR,1993,260.99569527777777
Bulgaria,BGR,1994,251.24498
Bulgaria,BGR,1995,270.2144188888889
Bulgaria,BGR,1996,268.9731458333333
Bulgaria,BGR,1997,254.9296758333333
Bulgaria,BGR,1998,244.5344686111111
Bulgaria,BGR,1999,213.56245277777776
Bulgaria,BGR,2000,215.8909161111111
Bulgaria,BGR,2001,223.24842361111112
Bulgaria,BGR,2002,217.8437333333333
Bulgaria,BGR,2003,226.0486486111111
Bulgaria,BGR,2004,218.83238333333333
Bulgaria,BGR,2005,236.66612027777776
Bulgaria,BGR,2006,241.21703916666667
Bulgaria,BGR,2007,233.9409047222222
Bulgaria,BGR,2008,230.07456166666665
Bulgaria,BGR,2009,201.08271166666665
Bulgaria,BGR,2010,209.28369916666668
Bulgaria,BGR,2011,222.7315338888889
Bulgaria,BGR,2012,211.25421277777775
Bulgaria,BGR,2013,195.35999361111112
Bulgaria,BGR,2014,208.5757680555556
Bulgaria,BGR,2015,221.68361888888887
Bulgaria,BGR,2016,210.04449805555555
Bulgaria,BGR,2017,214.8643736111111
Bulgaria,BGR,2018,214.446145
Bulgaria,BGR,2019,207.05145666666664
Bulgaria,BGR,2020,191.6513188888889
CIS,,1965,6902.169911111111
CIS,,1966,7339.637622222222
CIS,,1967,7714.980336111111
CIS,,1968,8001.394244444444
CIS,,1969,8353.558669444445
CIS,,1970,8787.364483333333
CIS,,1971,9219.433022222222
CIS,,1972,9694.171841666666
CIS,,1973,10187.24048611111
CIS,,1974,10749.677583333334
CIS,,1975,11282.076430555557
CIS,,1976,11720.661783333331
CIS,,1977,12244.958036111111
CIS,,1978,12772.343144444443
CIS,,1979,13122.126925
CIS,,1980,13414.247233333332
CIS,,1981,13699.583813888888
CIS,,1982,14042.961375
CIS,,1983,14338.135980555557
CIS,,1984,14875.515791666669
CIS,,1985,11972.27481111111
CIS,,1986,12243.661883333334
CIS,,1987,12597.588483333331
CIS,,1988,12880.926469444445
CIS,,1989,12889.335291666666
CIS,,1990,12680.81636388889
CIS,,1991,12457.29748611111
CIS,,1992,11927.60215
CIS,,1993,11020.22686111111
CIS,,1994,10048.858786111112
CIS,,1995,9455.424255555554
CIS,,1996,9148.007983333331
CIS,,1997,8629.084908333332
CIS,,1998,8611.618063888889
CIS,,1999,8719.638525
CIS,,2000,8805.187583333334
CIS,,2001,8983.239494444444
CIS,,2002,8960.320472222224
CIS,,2003,9166.097777777775
CIS,,2004,9314.5877
CIS,,2005,9345.859277777778
CIS,,2006,9688.010427777775
CIS,,2007,9811.674458333331
CIS,,2008,9817.695038888887
CIS,,2009,9410.007344444444
CIS,,2010,9786.966702777778
CIS,,2011,10198.443425
CIS,,2012,10305.800427777778
CIS,,2013,10148.283325
CIS,,2014,10228.343019444445
CIS,,2015,10113.363655555557
CIS,,2016,10245.761577777776
CIS,,2017,10362.045466666665
CIS,,2018,10855.888119444444
CIS,,2019,10804.99701111111
CIS,,2020,10310.601016666667
Canada,CAN,1965,1367.8658466666666
Canada,CAN,1966,1455.3041369444445
Canada,CAN,1967,1522.281658333333
Canada,CAN,1968,1621.126733611111
Canada,CAN,1969,1718.3201805555557
Canada,CAN,1970,1840.1614197222225
